09:12:25 desired/running=2	2 cpu=3.5047685106595354
09:13:26 desired/running=2	2 cpu=3.4407410323619843
09:14:28 desired/running=2	2 cpu=50.4965663254261
09:15:30 desired/running=2	2 cpu=95.51751581827799
09:16:31 desired/running=2	2 cpu=95.59232076009116
09:17:33 desired/running=4	2 cpu=97.18524551391602
09:18:35 desired/running=4	4 cpu=97.12059529622397
09:19:36 desired/running=4	4 cpu=49.129961013793945
09:20:38 desired/running=4	4 cpu=81.02848084767659
09:21:40 desired/running=4	4 cpu=80.89314842224121
09:22:41 desired/running=4	4 cpu=82.09493192036948
09:23:43 desired/running=6	4 cpu=78.25418154398601
09:24:45 desired/running=6	6 cpu=59.72630548477173
